dataset,representation,representation_group,compression_family,quality,bytes_raw,bytes,bits,serialization_method,accuracy,accuracy_std,latency_ms,latency_ms_std,utility_per_byte,byte_savings,within_epsilon,enough_savings,is_ssp_any,is_ssp_decision,is_ssp_semantic,is_ssp_visual,receiver,is_silence_baseline,seed_count
cifar10,original_png,visual,png,lossless,3072.0,2267.728,18141.824,png,0.7136,0.008702,0.432069,0.046655,0.00031468,0.0,yes,no,no,no,no,no,independent_full_image,no,3
cifar10,jpeg_q90,visual,jpeg,90,3072.0,1106.17,8849.36,jpeg,0.696333,0.014271,0.198187,0.041129,0.0006295,0.512212,yes,no,no,no,no,no,independent_jpeg,no,3
cifar10,jpeg_q50,visual,jpeg,50,3072.0,825.806,6606.448,jpeg,0.678167,0.007069,0.193302,0.01071,0.00082122,0.635844,no,no,no,no,no,no,independent_jpeg,no,3
cifar10,jpeg_q20,visual,jpeg,20,3072.0,741.082,5928.656,jpeg,0.6617,0.00479,0.203725,0.012785,0.00089288,0.673205,no,no,no,no,no,no,independent_jpeg,no,3
cifar10,jpeg_q10,visual,jpeg,10,3072.0,699.0,5592.0,jpeg,0.632767,0.006914,0.174796,0.014671,0.00090525,0.691762,no,no,no,no,no,no,independent_jpeg,no,3
cifar10,jpeg_q5,visual,jpeg,5,3072.0,670.814,5366.512,jpeg,0.5732,0.002677,0.1886,0.028927,0.00085448,0.704191,no,no,no,no,no,no,independent_jpeg,no,3
cifar10,resize16_jpeg_q50,visual,resize,16+q50,768.0,680.864,5446.912,jpeg,0.5713,0.003021,0.054952,0.005813,0.00083908,0.699759,no,no,no,no,no,no,independent_resize_jpeg,no,3
cifar10,resize_8x8,visual,resize,8,192.0,211.686,1693.488,uint8+gzip,0.534,0.001564,0.02154,0.00135,0.0025226,0.906653,no,yes,no,no,no,no,independent_resize,no,3
cifar10,embedding,semantic,learned,uint8,64.0,59.83,478.64,uint8+gzip,0.72,0.004418,0.001975,0.000331,0.0120341,0.973617,yes,yes,no,no,yes,no,independent_embedding_quantized,no,3
cifar10,label,decision,decision,argmax,1.0,21.0,168.0,uint8+gzip,0.7057,0.004631,0.0,0.0,0.03360476,0.99074,yes,yes,yes,yes,no,no,ground_truth,no,3
cifar10,silence,silence,silence,none,0.0,0.0,0.0,none,0.1,0.0,0.0,0.0,,1.0,no,yes,no,no,no,no,majority_class,yes,3
