policy,param,utility,utility_std,mean_bytes,traffic,seeds
always_embedding,,0.8913333333333333,0.002983845393671269,49.396966666666664,1.0,3
always_label,,0.8876,0.0037027017163147086,21.0,1.0,3
always_original,,0.8895,0.0019313207915827928,511.7515,1.0,3
confidence,q=0.000,0.10000000000000002,0.0,0.0,0.0,3
confidence,q=0.042,0.11313333333333335,0.00310214979221399,2.0783666666666663,0.041699999999999994,3
confidence,q=0.083,0.1298,0.006409368143584826,4.148266666666667,0.0833,3
confidence,q=0.125,0.14816666666666667,0.0087751543196307,6.226266666666667,0.125,3
confidence,q=0.167,0.16943333333333332,0.00972950838086556,8.302866666666667,0.1667,3
confidence,q=0.208,0.1938,0.009874715185766126,10.374733333333333,0.2083,3
confidence,q=0.250,0.22160000000000002,0.010692520750505956,12.4501,0.25,3
confidence,q=0.292,0.2508333333333333,0.01166290415519796,14.525866666666666,0.2917,3
confidence,q=0.333,0.28153333333333336,0.011303244372008107,16.599166666666665,0.3333,3
confidence,q=0.375,0.3126,0.010717742299570353,18.676266666666667,0.375,3
confidence,q=0.417,0.3457666666666667,0.01066083173740836,20.75486666666667,0.4167,3
confidence,q=0.458,0.3792,0.011321219015636074,22.825533333333336,0.4583,3
confidence,q=0.500,0.41336666666666666,0.010920317455703085,24.89816666666667,0.5,3
confidence,q=0.542,0.4479333333333333,0.009588708637420043,26.9662,0.5417,3
confidence,q=0.583,0.4845,0.008007496487667064,29.02576666666667,0.5833,3
confidence,q=0.625,0.5221999999999999,0.005788782255362551,31.093033333333334,0.625,3
confidence,q=0.667,0.5612666666666667,0.004717343885422571,33.15363333333334,0.6667,3
confidence,q=0.708,0.6010666666666666,0.0035641735835019632,35.210366666666665,0.7083,3
confidence,q=0.750,0.6419,0.003041381265149124,37.267966666666666,0.75,3
confidence,q=0.792,0.6832333333333334,0.0029771350881902404,39.32143333333334,0.7917,3
confidence,q=0.833,0.7246666666666667,0.0030088757590391647,41.3599,0.8333,3
confidence,q=0.875,0.7663333333333333,0.002983845393671269,43.394866666666665,0.875,3
confidence,q=0.917,0.8080333333333334,0.002983845393671315,45.41493333333333,0.9167,3
confidence,q=0.958,0.8496333333333332,0.002983845393671315,47.4146,0.9583,3
confidence,q=1.000,0.8913333333333333,0.002983845393671269,49.396966666666664,1.0,3
elu_threshold,q=0.000,0.10000000000000002,0.0,0.0,0.0,3
elu_threshold,q=0.042,0.1417,0.0,1.9824333333333335,0.041699999999999994,3
elu_threshold,q=0.083,0.1833,0.0,3.9819333333333335,0.0833,3
elu_threshold,q=0.125,0.225,0.0,6.003733333333333,0.125,3
elu_threshold,q=0.167,0.2667,0.0,8.0367,0.1667,3
elu_threshold,q=0.208,0.3082333333333333,5.773502691901231e-05,10.0763,0.2083,3
elu_threshold,q=0.250,0.34990000000000004,0.0,12.129133333333334,0.25,3
elu_threshold,q=0.292,0.3915,9.999999999998899e-05,14.188566666666667,0.2917,3
elu_threshold,q=0.333,0.4328,0.0002645751311064693,16.24513333333333,0.3333,3
elu_threshold,q=0.375,0.4740333333333333,5.7735026918968237e-05,18.30633333333333,0.375,3
elu_threshold,q=0.417,0.5148666666666667,0.00020816659994659034,20.371066666666668,0.4167,3
elu_threshold,q=0.458,0.5556333333333333,0.0003214550253664756,22.4298,0.4583,3
elu_threshold,q=0.500,0.5962666666666667,0.00032145502536642235,24.4997,0.5,3
elu_threshold,q=0.542,0.6366333333333333,0.0005507570547285747,26.574466666666666,0.5417,3
elu_threshold,q=0.583,0.6762666666666667,0.0010115993936994799,28.6464,0.5833,3
elu_threshold,q=0.625,0.714,0.002291287847477843,30.7272,0.625,3
elu_threshold,q=0.667,0.7501333333333333,0.0020132891827388654,32.80773333333333,0.6667,3
elu_threshold,q=0.708,0.7845666666666666,0.001692138686199694,34.881766666666664,0.7083,3
elu_threshold,q=0.750,0.8163333333333332,0.002571640202931465,36.96103333333333,0.75,3
elu_threshold,q=0.792,0.8439666666666666,0.002857154761879949,39.0431,0.7917,3
elu_threshold,q=0.833,0.8695666666666666,0.0029399546481763098,41.1212,0.8333,3
elu_threshold,q=0.875,0.8879999999999999,0.0019974984355437897,43.204366666666665,0.875,3
elu_threshold,q=0.917,0.8911000000000001,0.0024979991993593774,45.266600000000004,0.9167,3
elu_threshold,q=0.958,0.8909666666666668,0.0026727015047201446,47.328599999999994,0.9583,3
elu_threshold,q=1.000,0.8913333333333333,0.002983845393671269,49.396966666666664,1.0,3
never_silence,,0.10000000000000002,0.0,0.0,0.0,3
oracle,DU_true>0,0.9103333333333333,0.002685764943797811,39.967866666666666,0.8103333333333333,3
