policy,param,utility,mean_bytes,traffic,seed,source,backend,majority_class,B_emb_mean,info
always_original,,0.8899,511.7515,1.0,0,fashion_mnist,torch,0,50.2519,
always_embedding,,0.8928,50.2519,1.0,0,fashion_mnist,torch,0,50.2519,
always_label,,0.8835,21.0,1.0,0,fashion_mnist,torch,0,50.2519,
never_silence,,0.1,0.0,0.0,0,fashion_mnist,torch,0,50.2519,
confidence,q=0.000,0.1,0.0,0.0,0,fashion_mnist,torch,0,50.2519,
confidence,q=0.042,0.1163,2.1425,0.0417,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.5026
confidence,q=0.083,0.1364,4.2687,0.0833,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.5699
confidence,q=0.125,0.1573,6.4014,0.125,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.6463
confidence,q=0.167,0.1798,8.5302,0.1667,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.7084
confidence,q=0.208,0.2048,10.655,0.2083,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.7683
confidence,q=0.250,0.2335,12.7811,0.25,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.8185
confidence,q=0.292,0.264,14.9055,0.2917,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.8621
confidence,q=0.333,0.2943,17.026,0.3333,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.8955
confidence,q=0.375,0.3247,19.1506,0.375,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9204
confidence,q=0.417,0.3579,21.2763,0.4167,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9397
confidence,q=0.458,0.392,23.3933,0.4583,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9580
confidence,q=0.500,0.4259,25.5126,0.5,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9703
confidence,q=0.542,0.459,27.6227,0.5417,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9801
confidence,q=0.583,0.4937,29.7175,0.5833,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9866
confidence,q=0.625,0.5287,31.8167,0.625,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9917
confidence,q=0.667,0.5662,33.9005,0.6667,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9950
confidence,q=0.708,0.604,35.9689,0.7083,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9971
confidence,q=0.750,0.6439,38.0262,0.75,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9983
confidence,q=0.792,0.6848,40.0779,0.7917,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9991
confidence,q=0.833,0.7262,42.1184,0.8333,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9995
confidence,q=0.875,0.7678,44.1588,0.875,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9997
confidence,q=0.917,0.8095,46.2063,0.9167,0,fashion_mnist,torch,0,50.2519,umbral_confianza=0.9999
confidence,q=0.958,0.8511,48.2364,0.9583,0,fashion_mnist,torch,0,50.2519,umbral_confianza=1.0000
confidence,q=1.000,0.8928,50.2519,1.0,0,fashion_mnist,torch,0,50.2519,umbral_confianza=1.0000
elu_threshold,q=0.000,0.1,0.0,0.0,0,fashion_mnist,torch,0,50.2519,
elu_threshold,q=0.042,0.1417,2.0144,0.0417,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019899
elu_threshold,q=0.083,0.1833,4.0434,0.0833,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019897
elu_threshold,q=0.125,0.225,6.0924,0.125,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019894
elu_threshold,q=0.167,0.2667,8.1288,0.1667,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019889
elu_threshold,q=0.208,0.3083,10.1702,0.2083,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019879
elu_threshold,q=0.250,0.3499,12.2184,0.25,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019864
elu_threshold,q=0.292,0.3915,14.2753,0.2917,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019834
elu_threshold,q=0.333,0.4326,16.3376,0.3333,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019780
elu_threshold,q=0.375,0.4741,18.4181,0.375,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019689
elu_threshold,q=0.417,0.5147,20.5084,0.4167,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019544
elu_threshold,q=0.458,0.5555,22.6013,0.4583,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019322
elu_threshold,q=0.500,0.5959,24.7126,0.5,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.019013
elu_threshold,q=0.542,0.636,26.8285,0.5417,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.018562
elu_threshold,q=0.583,0.6751,28.9401,0.5833,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.017996
elu_threshold,q=0.625,0.7115,31.062,0.625,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.017267
elu_threshold,q=0.667,0.748,33.181,0.6667,0,fashion_mnist,torch,0,50.2519,lambda_implicito=0.016233
